County,long,lat,group,order,State,sregion
Apache,-109.2917023,33.77586365,68,3165,Arizona,Gallup
Apache,-109.8474655,35.13950348,68,3194,Arizona,Gallup
Apache,-109.8474655,34.13682556,68,3191,Arizona,Gallup
Apache,-109.8474655,34.31444168,68,3192,Arizona,Gallup
Apache,-109.8474655,35.51765442,68,3195,Arizona,Gallup
Apache,-109.0567856,33.77586365,68,3163,Arizona,Gallup
Apache,-109.8474655,34.64675903,68,3193,Arizona,Gallup
Apache,-109.8589249,34.13109589,68,3190,Arizona,Gallup
Apache,-109.0453262,35.99893951,68,3207,Arizona,Gallup
Apache,-109.4463959,33.71283722,68,3171,Arizona,Gallup
Apache,-109.5208817,33.64408112,68,3175,Arizona,Gallup
Apache,-109.3604507,33.73002625,68,3169,Arizona,Gallup
Apache,-109.1484604,36.99588394,68,3205,Arizona,Gallup
Apache,-109.3260803,33.78159332,68,3166,Arizona,Gallup
Apache,-109.5266113,33.63262177,68,3176,Arizona,Gallup
Apache,-109.4062881,33.71856689,68,3170,Arizona,Gallup
Apache,-110.0078964,36.29114914,68,3199,Arizona,Gallup
Apache,-109.8302841,35.64370346,68,3197,Arizona,Gallup
Apache,-109.1656494,33.77586365,68,3164,Arizona,Gallup
Apache,-110.0021667,35.64943314,68,3198,Arizona,Gallup
Apache,-109.0395966,36.99588394,68,3206,Arizona,Gallup
Apache,-109.0510635,34.57227325,68,3162,Arizona,Gallup
Apache,-109.0453262,35.99893951,68,3160,Arizona,Gallup
Apache,-109.7615204,33.4893837,68,3182,Arizona,Gallup
Apache,-109.7328796,33.50657272,68,3181,Arizona,Gallup
Apache,-109.8245544,35.52338409,68,3196,Arizona,Gallup
Apache,-109.5667191,33.62689209,68,3177,Arizona,Gallup
Apache,-109.0510635,34.95042801,68,3161,Arizona,Gallup
Apache,-109.7959061,33.4893837,68,3183,Arizona,Gallup
Apache,-109.8073578,33.50084305,68,3184,Arizona,Gallup
Apache,-109.8818436,33.70710754,68,3188,Arizona,Gallup
Apache,-109.4807739,33.65554047,68,3173,Arizona,Gallup
Apache,-109.5037003,33.64981079,68,3174,Arizona,Gallup
Apache,-109.9334106,36.99588394,68,3202,Arizona,Gallup
Apache,-109.4807739,33.67845917,68,3172,Arizona,Gallup
Apache,-109.8875732,33.55241013,68,3187,Arizona,Gallup
Apache,-109.3604507,33.75294495,68,3168,Arizona,Gallup
Apache,-109.8589249,33.71283722,68,3189,Arizona,Gallup
Apache,-109.3489914,33.77013397,68,3167,Arizona,Gallup
Apache,-109.8531952,33.54094696,68,3186,Arizona,Gallup
Apache,-109.6583939,33.59824371,68,3178,Arizona,Gallup
Apache,-109.4120255,36.99588394,68,3204,Arizona,Gallup
Apache,-109.6813049,33.55241013,68,3179,Arizona,Gallup
Apache,-109.715683,36.99588394,68,3203,Arizona,Gallup
Apache,-110.0078964,36.81253815,68,3200,Arizona,Gallup
Apache,-110.0078964,37.00161362,68,3201,Arizona,Gallup
Apache,-109.7271423,33.5352211,68,3180,Arizona,Gallup
Apache,-109.8360138,33.50084305,68,3185,Arizona,Gallup
Cochise,-110.4777222,31.65591812,69,3220,Arizona,Tucson
Cochise,-110.4662628,31.65591812,69,3221,Arizona,Tucson
Cochise,-110.3516693,31.35225105,69,3217,Arizona,Tucson
Cochise,-109.1885681,32.42368317,69,3211,Arizona,Tucson
Cochise,-109.6240158,31.34652138,69,3215,Arizona,Tucson
Cochise,-110.4777222,31.35225105,69,3218,Arizona,Tucson
Cochise,-110.4662628,31.74186325,69,3209,Arizona,Tucson
Cochise,-110.4662628,32.42368317,69,3210,Arizona,Tucson
Cochise,-109.2344055,31.35225105,69,3214,Arizona,Tucson
Cochise,-110.4777222,31.46111107,69,3219,Arizona,Tucson
Cochise,-109.0567856,31.35225105,69,3213,Arizona,Tucson
Cochise,-109.9964371,31.35225105,69,3216,Arizona,Tucson
Cochise,-109.0567856,32.42368317,69,3212,Arizona,Tucson
Cochise,-110.4662628,31.74186325,69,3222,Arizona,Tucson
Coconino,-112.6320496,35.30565643,70,3321,Arizona,Phoenix
Coconino,-113.3425064,36.00466919,70,3335,Arizona,Phoenix
Coconino,-112.9872742,35.39733124,70,3325,Arizona,Phoenix
